,edit_count,sentiment,neg_sentiment
2006-07-11,0.3,0.12288478480445014,0.0
2006-07-12,0.23333333333333334,0.09655233091778226,0.0
2006-07-13,0.23333333333333334,0.09655233091778226,0.0
2006-07-14,0.23333333333333334,0.09655233091778226,0.0
2006-07-15,0.26666666666666666,0.09655233091778226,0.0
2006-07-16,0.26666666666666666,0.07021987703111437,0.0
2006-07-17,0.26666666666666666,0.07021987703111437,0.0
2006-07-18,0.26666666666666666,0.07021987703111437,0.0
2006-07-19,0.26666666666666666,0.07021987703111437,0.0
2006-07-20,0.4,0.06144239240222507,0.0
2006-07-21,0.7333333333333333,0.08514160090022617,0.0
2006-07-22,0.8333333333333334,0.10269657015800476,0.0
2006-07-23,0.8666666666666667,0.10269657015800476,0.0
2006-07-24,0.9333333333333333,0.10269657015800476,0.0
2006-07-25,1.0333333333333334,0.12902902404467265,0.0
2006-07-26,1.2,0.15536147793134053,0.0
2006-07-27,1.2333333333333334,0.15536147793134053,0.0
2006-07-28,1.2666666666666666,0.18169393181800844,0.0
2006-07-29,1.2666666666666666,0.15536147793134053,0.0
2006-07-30,1.3333333333333333,0.18169393181800844,0.0
2006-07-31,1.3333333333333333,0.18169393181800844,0.0
2006-08-01,1.3333333333333333,0.18169393181800844,0.0
2006-08-02,1.2333333333333334,0.16413896256022983,0.0
2006-08-03,1.2333333333333334,0.16413896256022983,0.0
2006-08-04,1.3333333333333333,0.19047141644689775,0.0
2006-08-05,1.3333333333333333,0.19047141644689775,0.0
2006-08-06,1.3333333333333333,0.19047141644689775,0.0
2006-08-07,1.3666666666666667,0.21680387033356563,0.0
2006-08-08,1.4333333333333333,0.21680387033356563,0.0
2006-08-09,1.4666666666666666,0.2431363242202335,0.0
2006-08-10,1.4666666666666666,0.2431363242202335,0.0
2006-08-11,1.4666666666666666,0.2431363242202335,0.0
2006-08-12,1.5,0.2694687781069014,0.0
2006-08-13,1.5,0.2694687781069014,0.0
2006-08-14,1.4666666666666666,0.2694687781069014,0.0
2006-08-15,1.4333333333333333,0.2694687781069014,0.0
2006-08-16,1.4333333333333333,0.2694687781069014,0.0
2006-08-17,1.4333333333333333,0.2694687781069014,0.0
2006-08-18,1.4333333333333333,0.2694687781069014,0.0
2006-08-19,1.2333333333333334,0.2519138088491228,0.0
2006-08-20,0.9,0.2282146003511217,0.0
2006-08-21,0.8666666666666667,0.2106596310933431,0.0
2006-08-22,0.8666666666666667,0.2106596310933431,0.0
2006-08-23,0.8,0.2106596310933431,0.0
2006-08-24,0.7,0.1843271772066752,0.0
2006-08-25,0.5333333333333333,0.15799472332000733,0.0
2006-08-26,0.5,0.15799472332000733,0.0
2006-08-27,0.4666666666666667,0.13166226943333945,0.0
2006-08-28,0.4666666666666667,0.13166226943333945,0.0
2006-08-29,0.43333333333333335,0.13166226943333945,0.0
2006-08-30,0.43333333333333335,0.13166226943333945,0.0
2006-08-31,0.43333333333333335,0.13166226943333945,0.0
2006-09-01,0.43333333333333335,0.13166226943333945,0.0
2006-09-02,0.4666666666666667,0.15799472332000733,0.0
2006-09-03,0.5666666666666667,0.14043975406222875,0.0
2006-09-04,0.5666666666666667,0.14043975406222875,0.0
2006-09-05,0.5666666666666667,0.14043975406222875,0.0
2006-09-06,0.5333333333333333,0.11410730017556084,0.0
2006-09-07,0.4666666666666667,0.11410730017556084,0.0
2006-09-08,0.4666666666666667,0.08777484628889295,0.0
2006-09-09,0.4666666666666667,0.08777484628889295,0.0
2006-09-10,0.4666666666666667,0.08777484628889295,0.0
2006-09-11,0.43333333333333335,0.061442392402225064,0.0
2006-09-12,0.43333333333333335,0.061442392402225064,0.0
2006-09-13,0.43333333333333335,0.061442392402225064,0.0
2006-09-14,0.43333333333333335,0.061442392402225064,0.0
2006-09-15,0.43333333333333335,0.061442392402225064,0.0
2006-09-16,0.43333333333333335,0.061442392402225064,0.0
2006-09-17,0.43333333333333335,0.061442392402225064,0.0
2006-09-18,0.4666666666666667,0.061442392402225064,0.0
2006-09-19,0.4666666666666667,0.061442392402225064,0.0
2006-09-20,0.4,0.061442392402225064,0.0
2006-09-21,0.36666666666666664,0.061442392402225064,0.0
2006-09-22,0.36666666666666664,0.061442392402225064,0.0
2006-09-23,0.36666666666666664,0.061442392402225064,0.0
2006-09-24,0.36666666666666664,0.061442392402225064,0.0
2006-09-25,0.36666666666666664,0.061442392402225064,0.0
2006-09-26,0.36666666666666664,0.061442392402225064,0.0
2006-09-27,0.3333333333333333,0.061442392402225064,0.0
2006-09-28,0.3,0.03510993851555718,0.0
2006-09-29,0.3,0.03510993851555718,0.0
2006-09-30,0.3333333333333333,0.03510993851555718,0.0
2006-10-01,0.3333333333333333,0.03510993851555718,0.0
2006-10-02,0.3,0.008777484628889297,0.0
2006-10-03,0.1,0.0,0.0
2006-10-04,0.1,0.0,0.0
2006-10-05,0.1,0.0,0.0
2006-10-06,0.13333333333333333,0.0,0.0
2006-10-07,0.13333333333333333,0.0,0.0
2006-10-08,0.3333333333333333,0.018808895633334207,0.0
2006-10-09,0.3333333333333333,0.018808895633334207,0.0
2006-10-10,0.3333333333333333,0.018808895633334207,0.0
2006-10-11,0.3333333333333333,0.018808895633334207,0.0
2006-10-12,0.3333333333333333,0.018808895633334207,0.0
2006-10-13,0.3333333333333333,0.018808895633334207,0.0
2006-10-14,0.3333333333333333,0.018808895633334207,0.0
2006-10-15,0.3333333333333333,0.018808895633334207,0.0
2006-10-16,0.36666666666666664,0.018808895633334207,0.0
2006-10-17,0.36666666666666664,0.018808895633334207,0.0
