,timestamp,FCR_N_PriceEUR
0,2017-01-01 00:00:00+00:00,62.13
1,2017-01-01 01:00:00+00:00,62.08
2,2017-01-01 02:00:00+00:00,62.07
3,2017-01-01 03:00:00+00:00,62.01
4,2017-01-01 04:00:00+00:00,61.9
5,2017-01-01 05:00:00+00:00,61.61
6,2017-01-01 06:00:00+00:00,25.67
7,2017-01-01 07:00:00+00:00,18.97
8,2017-01-01 08:00:00+00:00,17.02
9,2017-01-01 09:00:00+00:00,16.71
10,2017-01-01 10:00:00+00:00,16.93
11,2017-01-01 11:00:00+00:00,17.0
12,2017-01-01 12:00:00+00:00,16.74
13,2017-01-01 13:00:00+00:00,15.88
14,2017-01-01 14:00:00+00:00,15.82
15,2017-01-01 15:00:00+00:00,16.09
16,2017-01-01 16:00:00+00:00,16.11
17,2017-01-01 17:00:00+00:00,16.37
18,2017-01-01 18:00:00+00:00,15.89
19,2017-01-01 19:00:00+00:00,15.87
20,2017-01-01 20:00:00+00:00,17.23
21,2017-01-01 21:00:00+00:00,23.56
22,2017-01-01 22:00:00+00:00,22.91
23,2017-01-01 23:00:00+00:00,50.45
24,2017-01-02 00:00:00+00:00,59.9
25,2017-01-02 01:00:00+00:00,59.58
26,2017-01-02 02:00:00+00:00,59.61
27,2017-01-02 03:00:00+00:00,59.05
28,2017-01-02 04:00:00+00:00,46.74
29,2017-01-02 05:00:00+00:00,48.2
30,2017-01-02 06:00:00+00:00,27.97
31,2017-01-02 07:00:00+00:00,15.22
32,2017-01-02 08:00:00+00:00,15.21
33,2017-01-02 09:00:00+00:00,15.13
34,2017-01-02 10:00:00+00:00,15.11
35,2017-01-02 11:00:00+00:00,14.98
36,2017-01-02 12:00:00+00:00,14.98
37,2017-01-02 13:00:00+00:00,14.78
38,2017-01-02 14:00:00+00:00,14.8
39,2017-01-02 15:00:00+00:00,14.9
40,2017-01-02 16:00:00+00:00,14.95
41,2017-01-02 17:00:00+00:00,15.1
42,2017-01-02 18:00:00+00:00,14.99
43,2017-01-02 19:00:00+00:00,15.01
44,2017-01-02 20:00:00+00:00,15.83
45,2017-01-02 21:00:00+00:00,19.91
46,2017-01-02 22:00:00+00:00,20.02
47,2017-01-02 23:00:00+00:00,46.01
48,2017-01-03 00:00:00+00:00,46.07
49,2017-01-03 01:00:00+00:00,46.0
50,2017-01-03 02:00:00+00:00,46.06
51,2017-01-03 03:00:00+00:00,57.18
52,2017-01-03 04:00:00+00:00,52.97
53,2017-01-03 05:00:00+00:00,44.52
54,2017-01-03 06:00:00+00:00,28.55
55,2017-01-03 07:00:00+00:00,14.5
56,2017-01-03 08:00:00+00:00,14.5
57,2017-01-03 09:00:00+00:00,14.53
58,2017-01-03 10:00:00+00:00,14.53
59,2017-01-03 11:00:00+00:00,14.52
60,2017-01-03 12:00:00+00:00,14.5
61,2017-01-03 13:00:00+00:00,14.36
62,2017-01-03 14:00:00+00:00,14.43
63,2017-01-03 15:00:00+00:00,14.42
64,2017-01-03 16:00:00+00:00,14.59
65,2017-01-03 17:00:00+00:00,14.74
66,2017-01-03 18:00:00+00:00,14.82
67,2017-01-03 19:00:00+00:00,15.04
68,2017-01-03 20:00:00+00:00,17.01
69,2017-01-03 21:00:00+00:00,19.54
70,2017-01-03 22:00:00+00:00,19.08
71,2017-01-03 23:00:00+00:00,54.95
72,2017-01-04 00:00:00+00:00,55.21
73,2017-01-04 01:00:00+00:00,55.13
74,2017-01-04 02:00:00+00:00,55.22
75,2017-01-04 03:00:00+00:00,55.63
76,2017-01-04 04:00:00+00:00,50.32
77,2017-01-04 05:00:00+00:00,45.46
78,2017-01-04 06:00:00+00:00,23.5
79,2017-01-04 07:00:00+00:00,23.41
80,2017-01-04 08:00:00+00:00,13.6
81,2017-01-04 09:00:00+00:00,13.68
82,2017-01-04 10:00:00+00:00,13.7
83,2017-01-04 11:00:00+00:00,13.66
84,2017-01-04 12:00:00+00:00,13.7
85,2017-01-04 13:00:00+00:00,13.64
86,2017-01-04 14:00:00+00:00,13.62
87,2017-01-04 15:00:00+00:00,13.62
88,2017-01-04 16:00:00+00:00,13.63
89,2017-01-04 17:00:00+00:00,13.78
90,2017-01-04 18:00:00+00:00,13.88
91,2017-01-04 19:00:00+00:00,13.58
92,2017-01-04 20:00:00+00:00,15.84
93,2017-01-04 21:00:00+00:00,19.42
94,2017-01-04 22:00:00+00:00,19.05
95,2017-01-04 23:00:00+00:00,53.74
96,2017-01-05 00:00:00+00:00,48.87
97,2017-01-05 01:00:00+00:00,48.64
98,2017-01-05 02:00:00+00:00,48.79
99,2017-01-05 03:00:00+00:00,54.45
100,2017-01-05 04:00:00+00:00,54.17
101,2017-01-05 05:00:00+00:00,49.36
102,2017-01-05 06:00:00+00:00,23.88
103,2017-01-05 07:00:00+00:00,24.07
104,2017-01-05 08:00:00+00:00,14.33
105,2017-01-05 09:00:00+00:00,14.3
106,2017-01-05 10:00:00+00:00,14.29
107,2017-01-05 11:00:00+00:00,14.44
108,2017-01-05 12:00:00+00:00,14.19
109,2017-01-05 13:00:00+00:00,14.45
110,2017-01-05 14:00:00+00:00,14.23
111,2017-01-05 15:00:00+00:00,14.4
112,2017-01-05 16:00:00+00:00,13.99
113,2017-01-05 17:00:00+00:00,14.14
114,2017-01-05 18:00:00+00:00,14.09
115,2017-01-05 19:00:00+00:00,13.88
116,2017-01-05 20:00:00+00:00,15.95
117,2017-01-05 21:00:00+00:00,20.9
118,2017-01-05 22:00:00+00:00,20.72
119,2017-01-05 23:00:00+00:00,52.57
120,2017-01-06 00:00:00+00:00,46.39
121,2017-01-06 01:00:00+00:00,48.8
122,2017-01-06 02:00:00+00:00,49.26
123,2017-01-06 03:00:00+00:00,49.27
124,2017-01-06 04:00:00+00:00,52.59
125,2017-01-06 05:00:00+00:00,47.36
126,2017-01-06 06:00:00+00:00,20.34
127,2017-01-06 07:00:00+00:00,19.95
128,2017-01-06 08:00:00+00:00,13.35
129,2017-01-06 09:00:00+00:00,13.36
130,2017-01-06 10:00:00+00:00,13.36
131,2017-01-06 11:00:00+00:00,13.13
132,2017-01-06 12:00:00+00:00,13.25
133,2017-01-06 13:00:00+00:00,13.29
134,2017-01-06 14:00:00+00:00,13.33
135,2017-01-06 15:00:00+00:00,13.29
136,2017-01-06 16:00:00+00:00,13.98
137,2017-01-06 17:00:00+00:00,13.93
138,2017-01-06 18:00:00+00:00,13.96
139,2017-01-06 19:00:00+00:00,14.01
140,2017-01-06 20:00:00+00:00,15.5
141,2017-01-06 21:00:00+00:00,19.92
142,2017-01-06 22:00:00+00:00,19.79
143,2017-01-06 23:00:00+00:00,43.21
144,2017-01-07 00:00:00+00:00,44.08
145,2017-01-07 01:00:00+00:00,44.05
146,2017-01-07 02:00:00+00:00,44.06
147,2017-01-07 03:00:00+00:00,42.32
148,2017-01-07 04:00:00+00:00,44.01
149,2017-01-07 05:00:00+00:00,40.39
150,2017-01-07 06:00:00+00:00,37.06
151,2017-01-07 07:00:00+00:00,25.72
152,2017-01-07 08:00:00+00:00,13.37
153,2017-01-07 09:00:00+00:00,13.55
154,2017-01-07 10:00:00+00:00,13.35
155,2017-01-07 11:00:00+00:00,12.86
156,2017-01-07 12:00:00+00:00,12.86
157,2017-01-07 13:00:00+00:00,12.9
158,2017-01-07 14:00:00+00:00,12.8
159,2017-01-07 15:00:00+00:00,12.82
160,2017-01-07 16:00:00+00:00,13.75
161,2017-01-07 17:00:00+00:00,13.72
162,2017-01-07 18:00:00+00:00,13.74
163,2017-01-07 19:00:00+00:00,13.72
164,2017-01-07 20:00:00+00:00,15.56
165,2017-01-07 21:00:00+00:00,18.24
